Nuevo entrenamiento
Generaciones: 1000 - Poblacion: 50
Gen 343/1000 | Mejor: 273.9 | Record: 505.0
Gen 344/1000 | Mejor: 193.6 | Record: 505.0
Gen 345/1000 | Mejor: 300.0 | Record: 505.0
Gen 346/1000 | Mejor: 259.8 | Record: 505.0
Gen 347/1000 | Mejor: 374.2 | Record: 505.0
Gen 348/1000 | Mejor: 339.1 | Record: 505.0
Gen 349/1000 | Mejor: 223.6 | Record: 505.0
Gen 350/1000 | Mejor: 223.6 | Record: 505.0
Gen 351/1000 | Mejor: 234.5 | Record: 505.0
Gen 352/1000 | Mejor: 346.4 | Record: 505.0
Gen 353/1000 | Mejor: 250.0 | Record: 505.0
Gen 354/1000 | Mejor: 250.0 | Record: 505.0
Gen 355/1000 | Mejor: 244.9 | Record: 505.0
Gen 356/1000 | Mejor: 255.0 | Record: 505.0
  [sigma ajustado a 0.310]
Gen 357/1000 | Mejor: 200.0 | Record: 505.0
Gen 358/1000 | Mejor: 244.9 | Record: 505.0
Gen 359/1000 | Mejor: 200.0 | Record: 505.0
Gen 360/1000 | Mejor: 229.1 | Record: 505.0
Gen 361/1000 | Mejor: 193.6 | Record: 505.0
Gen 362/1000 | Mejor: 312.2 | Record: 505.0
Gen 363/1000 | Mejor: 427.2 | Record: 505.0
Gen 364/1000 | Mejor: 264.6 | Record: 505.0
Gen 365/1000 | Mejor: 212.1 | Record: 505.0
Gen 366/1000 | Mejor: 223.6 | Record: 505.0
Gen 367/1000 | Mejor: 342.8 | Record: 505.0
Gen 368/1000 | Mejor: 342.8 | Record: 505.0
Gen 369/1000 | Mejor: 304.1 | Record: 505.0
Gen 370/1000 | Mejor: 264.6 | Record: 505.0
Gen 371/1000 | Mejor: 295.8 | Record: 505.0
Gen 372/1000 | Mejor: 308.2 | Record: 505.0
Gen 373/1000 | Mejor: 529.2 | Record: 529.2
Gen 374/1000 | Mejor: 304.1 | Record: 529.2
Gen 375/1000 | Mejor: 421.3 | Record: 529.2
Gen 376/1000 | Mejor: 312.2 | Record: 529.2
Gen 377/1000 | Mejor: 324.0 | Record: 529.2
Gen 378/1000 | Mejor: 234.5 | Record: 529.2
Gen 379/1000 | Mejor: 287.2 | Record: 529.2
Gen 380/1000 | Mejor: 259.8 | Record: 529.2
Gen 381/1000 | Mejor: 264.6 | Record: 529.2
Gen 382/1000 | Mejor: 300.0 | Record: 529.2
Gen 383/1000 | Mejor: 327.9 | Record: 529.2
Gen 384/1000 | Mejor: 300.0 | Record: 529.2
Gen 385/1000 | Mejor: 312.2 | Record: 529.2
Gen 386/1000 | Mejor: 244.9 | Record: 529.2
Gen 387/1000 | Mejor: 217.9 | Record: 529.2
Gen 388/1000 | Mejor: 244.9 | Record: 529.2
Gen 389/1000 | Mejor: 234.5 | Record: 529.2
Gen 390/1000 | Mejor: 304.1 | Record: 529.2
Gen 391/1000 | Mejor: 287.2 | Record: 529.2
Gen 392/1000 | Mejor: 324.0 | Record: 529.2
  [sigma ajustado a 0.260]
Gen 393/1000 | Mejor: 357.1 | Record: 529.2
Gen 394/1000 | Mejor: 282.8 | Record: 529.2
Gen 395/1000 | Mejor: 364.0 | Record: 529.2
Gen 396/1000 | Mejor: 320.2 | Record: 529.2
Gen 397/1000 | Mejor: 304.1 | Record: 529.2
Gen 398/1000 | Mejor: 370.8 | Record: 529.2
Gen 399/1000 | Mejor: 291.5 | Record: 529.2
Gen 400/1000 | Mejor: 269.3 | Record: 529.2
Gen 401/1000 | Mejor: 387.3 | Record: 529.2
Gen 402/1000 | Mejor: 295.8 | Record: 529.2
Gen 403/1000 | Mejor: 282.8 | Record: 529.2
Gen 404/1000 | Mejor: 295.8 | Record: 529.2
Gen 405/1000 | Mejor: 244.9 | Record: 529.2
Gen 406/1000 | Mejor: 287.2 | Record: 529.2
Gen 407/1000 | Mejor: 223.6 | Record: 529.2
Gen 408/1000 | Mejor: 212.1 | Record: 529.2
Gen 409/1000 | Mejor: 255.0 | Record: 529.2
Gen 410/1000 | Mejor: 206.2 | Record: 529.2
Gen 411/1000 | Mejor: 421.3 | Record: 529.2
Gen 412/1000 | Mejor: 327.9 | Record: 529.2
  [sigma ajustado a 0.312]
Gen 413/1000 | Mejor: 308.2 | Record: 529.2
Gen 414/1000 | Mejor: 269.3 | Record: 529.2
Gen 415/1000 | Mejor: 327.9 | Record: 529.2
Gen 416/1000 | Mejor: 291.5 | Record: 529.2
Gen 417/1000 | Mejor: 229.1 | Record: 529.2
Gen 418/1000 | Mejor: 255.0 | Record: 529.2
Gen 419/1000 | Mejor: 335.4 | Record: 529.2
Gen 420/1000 | Mejor: 193.6 | Record: 529.2
Gen 421/1000 | Mejor: 223.6 | Record: 529.2
Gen 422/1000 | Mejor: 269.3 | Record: 529.2
Gen 423/1000 | Mejor: 282.8 | Record: 529.2
Gen 424/1000 | Mejor: 350.0 | Record: 529.2
Gen 425/1000 | Mejor: 255.0 | Record: 529.2
Gen 426/1000 | Mejor: 234.5 | Record: 529.2
Gen 427/1000 | Mejor: 255.0 | Record: 529.2
Gen 428/1000 | Mejor: 239.8 | Record: 529.2
Gen 429/1000 | Mejor: 200.0 | Record: 529.2
Gen 430/1000 | Mejor: 418.3 | Record: 529.2
Gen 431/1000 | Mejor: 250.0 | Record: 529.2
Gen 432/1000 | Mejor: 229.1 | Record: 529.2
  [sigma ajustado a 0.374]
Gen 433/1000 | Mejor: 212.1 | Record: 529.2
Gen 434/1000 | Mejor: 223.6 | Record: 529.2
Gen 435/1000 | Mejor: 187.1 | Record: 529.2
Gen 436/1000 | Mejor: 308.2 | Record: 529.2
Gen 437/1000 | Mejor: 255.0 | Record: 529.2
Gen 438/1000 | Mejor: 250.0 | Record: 529.2
Gen 439/1000 | Mejor: 255.0 | Record: 529.2
Gen 440/1000 | Mejor: 295.8 | Record: 529.2
Gen 441/1000 | Mejor: 206.2 | Record: 529.2
Gen 442/1000 | Mejor: 217.9 | Record: 529.2
Gen 443/1000 | Mejor: 206.2 | Record: 529.2
Gen 444/1000 | Mejor: 244.9 | Record: 529.2
Gen 445/1000 | Mejor: 212.1 | Record: 529.2
Gen 446/1000 | Mejor: 250.0 | Record: 529.2
Gen 447/1000 | Mejor: 193.6 | Record: 529.2
Gen 448/1000 | Mejor: 282.8 | Record: 529.2
Gen 449/1000 | Mejor: 264.6 | Record: 529.2
Gen 450/1000 | Mejor: 182.0 | Record: 529.2
Gen 451/1000 | Mejor: 229.1 | Record: 529.2
Gen 452/1000 | Mejor: 217.9 | Record: 529.2
  [sigma ajustado a 0.449]
  [reset sigma → 0.05]
Gen 453/1000 | Mejor: 239.8 | Record: 529.2
Gen 454/1000 | Mejor: 255.0 | Record: 529.2
Gen 455/1000 | Mejor: 200.0 | Record: 529.2
Gen 456/1000 | Mejor: 206.2 | Record: 529.2
Gen 457/1000 | Mejor: 324.0 | Record: 529.2
Gen 458/1000 | Mejor: 312.2 | Record: 529.2
Gen 459/1000 | Mejor: 193.6 | Record: 529.2
Gen 460/1000 | Mejor: 364.0 | Record: 529.2
Gen 461/1000 | Mejor: 295.8 | Record: 529.2
Gen 462/1000 | Mejor: 308.2 | Record: 529.2
Gen 463/1000 | Mejor: 327.9 | Record: 529.2
Gen 464/1000 | Mejor: 304.1 | Record: 529.2
Gen 465/1000 | Mejor: 308.2 | Record: 529.2
Gen 466/1000 | Mejor: 424.3 | Record: 529.2
