Nuevo entrenamiento
Generaciones: 500 - Poblacion: 154
Gen 197/500 | Mejor: 357.1 | Record: 526.8
Gen 198/500 | Mejor: 360.6 | Record: 526.8
Gen 199/500 | Mejor: 304.1 | Record: 526.8
Gen 200/500 | Mejor: 324.0 | Record: 526.8
Gen 201/500 | Mejor: 308.2 | Record: 526.8
Gen 202/500 | Mejor: 278.4 | Record: 526.8
Gen 203/500 | Mejor: 412.3 | Record: 526.8
Gen 204/500 | Mejor: 393.7 | Record: 526.8
Gen 205/500 | Mejor: 282.8 | Record: 526.8
Gen 206/500 | Mejor: 282.8 | Record: 526.8
Gen 207/500 | Mejor: 278.4 | Record: 526.8
Gen 208/500 | Mejor: 353.6 | Record: 526.8
Gen 209/500 | Mejor: 403.1 | Record: 526.8
Gen 210/500 | Mejor: 316.2 | Record: 526.8
Gen 211/500 | Mejor: 364.0 | Record: 526.8
Gen 212/500 | Mejor: 350.0 | Record: 526.8
Gen 213/500 | Mejor: 400.0 | Record: 526.8
Gen 214/500 | Mejor: 273.9 | Record: 526.8
  [sigma ajustado a 0.434]
  [reset sigma → 0.05]
Gen 215/500 | Mejor: 273.9 | Record: 526.8
Gen 216/500 | Mejor: 304.1 | Record: 526.8
Gen 217/500 | Mejor: 320.2 | Record: 526.8
Gen 218/500 | Mejor: 353.6 | Record: 526.8
Gen 219/500 | Mejor: 320.2 | Record: 526.8
Gen 220/500 | Mejor: 304.1 | Record: 526.8
Gen 221/500 | Mejor: 278.4 | Record: 526.8
Gen 222/500 | Mejor: 300.0 | Record: 526.8
Gen 223/500 | Mejor: 278.4 | Record: 526.8
Gen 224/500 | Mejor: 300.0 | Record: 526.8
Gen 225/500 | Mejor: 331.7 | Record: 526.8
Gen 226/500 | Mejor: 316.2 | Record: 526.8
Gen 227/500 | Mejor: 308.2 | Record: 526.8
Gen 228/500 | Mejor: 225.0 | Record: 526.8
Gen 229/500 | Mejor: 287.2 | Record: 526.8
Gen 230/500 | Mejor: 259.8 | Record: 526.8
Gen 231/500 | Mejor: 327.9 | Record: 526.8
Gen 232/500 | Mejor: 282.8 | Record: 526.8
Gen 233/500 | Mejor: 273.9 | Record: 526.8
Gen 234/500 | Mejor: 300.0 | Record: 526.8
  [sigma ajustado a 0.060]
Gen 235/500 | Mejor: 300.0 | Record: 526.8
Gen 236/500 | Mejor: 287.2 | Record: 526.8
Gen 237/500 | Mejor: 295.8 | Record: 526.8
Gen 238/500 | Mejor: 291.5 | Record: 526.8
Gen 239/500 | Mejor: 384.1 | Record: 526.8
Gen 240/500 | Mejor: 250.0 | Record: 526.8
Gen 241/500 | Mejor: 259.8 | Record: 526.8
Gen 242/500 | Mejor: 360.6 | Record: 526.8
Gen 243/500 | Mejor: 234.5 | Record: 526.8
Gen 244/500 | Mejor: 357.1 | Record: 526.8
Gen 245/500 | Mejor: 384.1 | Record: 526.8
Gen 246/500 | Mejor: 259.8 | Record: 526.8
Gen 247/500 | Mejor: 374.2 | Record: 526.8
Gen 248/500 | Mejor: 259.8 | Record: 526.8
Gen 249/500 | Mejor: 403.1 | Record: 526.8
Gen 250/500 | Mejor: 342.8 | Record: 526.8
Gen 251/500 | Mejor: 304.1 | Record: 526.8
Gen 252/500 | Mejor: 364.0 | Record: 526.8
Gen 253/500 | Mejor: 331.7 | Record: 526.8
Gen 254/500 | Mejor: 304.1 | Record: 526.8
  [sigma ajustado a 0.072]
Gen 255/500 | Mejor: 324.0 | Record: 526.8
Gen 256/500 | Mejor: 269.3 | Record: 526.8
Gen 257/500 | Mejor: 331.7 | Record: 526.8
Gen 258/500 | Mejor: 380.8 | Record: 526.8
Gen 259/500 | Mejor: 364.0 | Record: 526.8
Gen 260/500 | Mejor: 342.8 | Record: 526.8
Gen 261/500 | Mejor: 308.2 | Record: 526.8
Gen 262/500 | Mejor: 278.4 | Record: 526.8
Gen 263/500 | Mejor: 273.9 | Record: 526.8
Gen 264/500 | Mejor: 308.2 | Record: 526.8
Gen 265/500 | Mejor: 367.4 | Record: 526.8
Gen 266/500 | Mejor: 327.9 | Record: 526.8
Gen 267/500 | Mejor: 327.9 | Record: 526.8
