Nuevo entrenamiento
Generaciones: 1500 - Poblacion: 100
Gen 161/1500 | Mejor: 403.1 | Record: 461.0
Gen 162/1500 | Mejor: 424.3 | Record: 461.0
Gen 163/1500 | Mejor: 409.3 | Record: 461.0
Gen 164/1500 | Mejor: 427.2 | Record: 461.0
Gen 165/1500 | Mejor: 424.3 | Record: 461.0
Gen 166/1500 | Mejor: 433.0 | Record: 461.0
Gen 167/1500 | Mejor: 418.3 | Record: 461.0
Gen 168/1500 | Mejor: 387.3 | Record: 461.0
Gen 169/1500 | Mejor: 406.2 | Record: 461.0
Gen 170/1500 | Mejor: 418.3 | Record: 461.0
Gen 171/1500 | Mejor: 393.7 | Record: 461.0
Gen 172/1500 | Mejor: 424.3 | Record: 461.0
Gen 173/1500 | Mejor: 421.3 | Record: 461.0
Gen 174/1500 | Mejor: 377.5 | Record: 461.0
Gen 175/1500 | Mejor: 418.3 | Record: 461.0
Gen 176/1500 | Mejor: 412.3 | Record: 461.0
  [sigma ajustado a 0.361]
Gen 177/1500 | Mejor: 400.0 | Record: 461.0
Gen 178/1500 | Mejor: 418.3 | Record: 461.0
Gen 179/1500 | Mejor: 377.5 | Record: 461.0
Gen 180/1500 | Mejor: 421.3 | Record: 461.0
Gen 181/1500 | Mejor: 393.7 | Record: 461.0
Gen 182/1500 | Mejor: 380.8 | Record: 461.0
Gen 183/1500 | Mejor: 409.3 | Record: 461.0
Gen 184/1500 | Mejor: 400.0 | Record: 461.0
Gen 185/1500 | Mejor: 441.6 | Record: 461.0
Gen 186/1500 | Mejor: 390.5 | Record: 461.0
Gen 187/1500 | Mejor: 384.1 | Record: 461.0
Gen 188/1500 | Mejor: 400.0 | Record: 461.0
Gen 189/1500 | Mejor: 412.3 | Record: 461.0
Gen 190/1500 | Mejor: 406.2 | Record: 461.0
Gen 191/1500 | Mejor: 393.7 | Record: 461.0
Gen 192/1500 | Mejor: 400.0 | Record: 461.0
Gen 193/1500 | Mejor: 380.8 | Record: 461.0
Gen 194/1500 | Mejor: 424.3 | Record: 461.0
Gen 195/1500 | Mejor: 387.3 | Record: 461.0
Gen 196/1500 | Mejor: 415.3 | Record: 461.0
  [sigma ajustado a 0.434]
  [reset sigma → 0.05]
Gen 197/1500 | Mejor: 374.2 | Record: 461.0
Gen 198/1500 | Mejor: 380.8 | Record: 461.0
Gen 199/1500 | Mejor: 364.0 | Record: 461.0
Gen 200/1500 | Mejor: 406.2 | Record: 461.0
Gen 201/1500 | Mejor: 377.5 | Record: 461.0
Gen 202/1500 | Mejor: 444.4 | Record: 461.0
Gen 203/1500 | Mejor: 403.1 | Record: 461.0
Gen 204/1500 | Mejor: 357.1 | Record: 461.0
Gen 205/1500 | Mejor: 374.2 | Record: 461.0
Gen 206/1500 | Mejor: 364.0 | Record: 461.0
Gen 207/1500 | Mejor: 393.7 | Record: 461.0
Gen 208/1500 | Mejor: 360.6 | Record: 461.0
Gen 209/1500 | Mejor: 327.9 | Record: 461.0
Gen 210/1500 | Mejor: 387.3 | Record: 461.0
Gen 211/1500 | Mejor: 424.3 | Record: 461.0
Gen 212/1500 | Mejor: 339.1 | Record: 461.0
Gen 213/1500 | Mejor: 324.0 | Record: 461.0
Gen 214/1500 | Mejor: 370.8 | Record: 461.0
Gen 215/1500 | Mejor: 374.2 | Record: 461.0
Gen 216/1500 | Mejor: 415.3 | Record: 461.0
  [sigma ajustado a 0.060]
Gen 217/1500 | Mejor: 409.3 | Record: 461.0
Gen 218/1500 | Mejor: 364.0 | Record: 461.0
Gen 219/1500 | Mejor: 312.2 | Record: 461.0
Gen 220/1500 | Mejor: 387.3 | Record: 461.0
Gen 221/1500 | Mejor: 350.0 | Record: 461.0
Gen 222/1500 | Mejor: 364.0 | Record: 461.0
Gen 223/1500 | Mejor: 364.0 | Record: 461.0
Gen 224/1500 | Mejor: 377.5 | Record: 461.0
Gen 225/1500 | Mejor: 370.8 | Record: 461.0
Gen 226/1500 | Mejor: 357.1 | Record: 461.0
Gen 227/1500 | Mejor: 342.8 | Record: 461.0
